From,To,Type,Label,Id
section-012-4-1-entities,section-018-4-1-6-live-session-agent-session-metadata,contains,contains,section-012-4-1-entities->section-018-4-1-6-live-session-agent-session-metadata:contains
section-012-4-1-entities,section-019-4-1-7-retry-entry,contains,contains,section-012-4-1-entities->section-019-4-1-7-retry-entry:contains
section-012-4-1-entities,section-020-4-1-8-orchestrator-runtime-state,contains,contains,section-012-4-1-entities->section-020-4-1-8-orchestrator-runtime-state:contains
section-011-4-core-domain-model,section-021-4-2-stable-identifiers-and-normalization-rules,contains,contains,section-011-4-core-domain-model->section-021-4-2-stable-identifiers-and-normalization-rules:contains
section-001-symphony-service-specification,section-022-5-workflow-specification-repository-contract,contains,contains,section-001-symphony-service-specification->section-022-5-workflow-specification-repository-contract:contains
section-022-5-workflow-specification-repository-contract,section-023-5-1-file-discovery-and-path-resolution,contains,contains,section-022-5-workflow-specification-repository-contract->section-023-5-1-file-discovery-and-path-resolution:contains
section-022-5-workflow-specification-repository-contract,section-024-5-2-file-format,contains,contains,section-022-5-workflow-specification-repository-contract->section-024-5-2-file-format:contains
section-022-5-workflow-specification-repository-contract,section-025-5-3-front-matter-schema,contains,contains,section-022-5-workflow-specification-repository-contract->section-025-5-3-front-matter-schema:contains
section-025-5-3-front-matter-schema,section-026-5-3-1-tracker-object,contains,contains,section-025-5-3-front-matter-schema->section-026-5-3-1-tracker-object:contains
section-025-5-3-front-matter-schema,section-027-5-3-2-polling-object,contains,contains,section-025-5-3-front-matter-schema->section-027-5-3-2-polling-object:contains
section-025-5-3-front-matter-schema,section-028-5-3-3-workspace-object,contains,contains,section-025-5-3-front-matter-schema->section-028-5-3-3-workspace-object:contains
section-025-5-3-front-matter-schema,section-029-5-3-4-hooks-object,contains,contains,section-025-5-3-front-matter-schema->section-029-5-3-4-hooks-object:contains
section-025-5-3-front-matter-schema,section-030-5-3-5-agent-object,contains,contains,section-025-5-3-front-matter-schema->section-030-5-3-5-agent-object:contains
section-025-5-3-front-matter-schema,section-031-5-3-6-codex-object,contains,contains,section-025-5-3-front-matter-schema->section-031-5-3-6-codex-object:contains
section-022-5-workflow-specification-repository-contract,section-032-5-4-prompt-template-contract,contains,contains,section-022-5-workflow-specification-repository-contract->section-032-5-4-prompt-template-contract:contains
section-022-5-workflow-specification-repository-contract,section-033-5-5-workflow-validation-and-error-surface,contains,contains,section-022-5-workflow-specification-repository-contract->section-033-5-5-workflow-validation-and-error-surface:contains
section-001-symphony-service-specification,section-034-6-configuration-specification,contains,contains,section-001-symphony-service-specification->section-034-6-configuration-specification:contains
section-034-6-configuration-specification,section-035-6-1-configuration-resolution-pipeline,contains,contains,section-034-6-configuration-specification->section-035-6-1-configuration-resolution-pipeline:contains
section-034-6-configuration-specification,section-036-6-2-dynamic-reload-semantics,contains,contains,section-034-6-configuration-specification->section-036-6-2-dynamic-reload-semantics:contains
section-034-6-configuration-specification,section-037-6-3-dispatch-preflight-validation,contains,contains,section-034-6-configuration-specification->section-037-6-3-dispatch-preflight-validation:contains
section-034-6-configuration-specification,section-038-6-4-core-config-fields-summary-cheat-sheet,contains,contains,section-034-6-configuration-specification->section-038-6-4-core-config-fields-summary-cheat-sheet:contains
section-001-symphony-service-specification,section-039-7-orchestration-state-machine,contains,contains,section-001-symphony-service-specification->section-039-7-orchestration-state-machine:contains
section-039-7-orchestration-state-machine,section-040-7-1-issue-orchestration-states,contains,contains,section-039-7-orchestration-state-machine->section-040-7-1-issue-orchestration-states:contains
section-039-7-orchestration-state-machine,section-041-7-2-run-attempt-lifecycle,contains,contains,section-039-7-orchestration-state-machine->section-041-7-2-run-attempt-lifecycle:contains
section-039-7-orchestration-state-machine,section-042-7-3-transition-triggers,contains,contains,section-039-7-orchestration-state-machine->section-042-7-3-transition-triggers:contains
section-039-7-orchestration-state-machine,section-043-7-4-idempotency-and-recovery-rules,contains,contains,section-039-7-orchestration-state-machine->section-043-7-4-idempotency-and-recovery-rules:contains
section-001-symphony-service-specification,section-044-8-polling-scheduling-and-reconciliation,contains,contains,section-001-symphony-service-specification->section-044-8-polling-scheduling-and-reconciliation:contains
section-044-8-polling-scheduling-and-reconciliation,section-045-8-1-poll-loop,contains,contains,section-044-8-polling-scheduling-and-reconciliation->section-045-8-1-poll-loop:contains
section-044-8-polling-scheduling-and-reconciliation,section-046-8-2-candidate-selection-rules,contains,contains,section-044-8-polling-scheduling-and-reconciliation->section-046-8-2-candidate-selection-rules:contains
section-044-8-polling-scheduling-and-reconciliation,section-047-8-3-concurrency-control,contains,contains,section-044-8-polling-scheduling-and-reconciliation->section-047-8-3-concurrency-control:contains
section-044-8-polling-scheduling-and-reconciliation,section-048-8-4-retry-and-backoff,contains,contains,section-044-8-polling-scheduling-and-reconciliation->section-048-8-4-retry-and-backoff:contains
section-044-8-polling-scheduling-and-reconciliation,section-049-8-5-active-run-reconciliation,contains,contains,section-044-8-polling-scheduling-and-reconciliation->section-049-8-5-active-run-reconciliation:contains
section-044-8-polling-scheduling-and-reconciliation,section-050-8-6-startup-terminal-workspace-cleanup,contains,contains,section-044-8-polling-scheduling-and-reconciliation->section-050-8-6-startup-terminal-workspace-cleanup:contains
section-001-symphony-service-specification,section-051-9-workspace-management-and-safety,contains,contains,section-001-symphony-service-specification->section-051-9-workspace-management-and-safety:contains
section-051-9-workspace-management-and-safety,section-052-9-1-workspace-layout,contains,contains,section-051-9-workspace-management-and-safety->section-052-9-1-workspace-layout:contains
section-051-9-workspace-management-and-safety,section-053-9-2-workspace-creation-and-reuse,contains,contains,section-051-9-workspace-management-and-safety->section-053-9-2-workspace-creation-and-reuse:contains
section-051-9-workspace-management-and-safety,section-054-9-3-optional-workspace-population-implementation-defined,contains,contains,section-051-9-workspace-management-and-safety->section-054-9-3-optional-workspace-population-implementation-defined:contains
section-051-9-workspace-management-and-safety,section-055-9-4-workspace-hooks,contains,contains,section-051-9-workspace-management-and-safety->section-055-9-4-workspace-hooks:contains
section-051-9-workspace-management-and-safety,section-056-9-5-safety-invariants,contains,contains,section-051-9-workspace-management-and-safety->section-056-9-5-safety-invariants:contains
section-001-symphony-service-specification,section-057-10-agent-runner-protocol-coding-agent-integration,contains,contains,section-001-symphony-service-specification->section-057-10-agent-runner-protocol-coding-agent-integration:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-058-10-1-launch-contract,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-058-10-1-launch-contract:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-059-10-2-session-startup-responsibilities,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-059-10-2-session-startup-responsibilities:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-060-10-3-streaming-turn-processing,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-060-10-3-streaming-turn-processing:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-061-10-4-emitted-runtime-events-upstream-to-orchestrator,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-061-10-4-emitted-runtime-events-upstream-to-orchestrator:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-062-10-5-approval-tool-calls-and-user-input-policy,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-062-10-5-approval-tool-calls-and-user-input-policy:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-063-10-6-timeouts-and-error-mapping,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-063-10-6-timeouts-and-error-mapping:contains
section-057-10-agent-runner-protocol-coding-agent-integration,section-064-10-7-agent-runner-contract,contains,contains,section-057-10-agent-runner-protocol-coding-agent-integration->section-064-10-7-agent-runner-contract:contains
section-001-symphony-service-specification,section-065-11-issue-tracker-integration-contract-linear-compatible,contains,contains,section-001-symphony-service-specification->section-065-11-issue-tracker-integration-contract-linear-compatible:contains
section-065-11-issue-tracker-integration-contract-linear-compatible,section-066-11-1-required-operations,contains,contains,section-065-11-issue-tracker-integration-contract-linear-compatible->section-066-11-1-required-operations:contains
section-065-11-issue-tracker-integration-contract-linear-compatible,section-067-11-2-query-semantics-linear,contains,contains,section-065-11-issue-tracker-integration-contract-linear-compatible->section-067-11-2-query-semantics-linear:contains
section-065-11-issue-tracker-integration-contract-linear-compatible,section-068-11-3-normalization-rules,contains,contains,section-065-11-issue-tracker-integration-contract-linear-compatible->section-068-11-3-normalization-rules:contains
section-065-11-issue-tracker-integration-contract-linear-compatible,section-069-11-4-error-handling-contract,contains,contains,section-065-11-issue-tracker-integration-contract-linear-compatible->section-069-11-4-error-handling-contract:contains
section-065-11-issue-tracker-integration-contract-linear-compatible,section-070-11-5-tracker-writes-important-boundary,contains,contains,section-065-11-issue-tracker-integration-contract-linear-compatible->section-070-11-5-tracker-writes-important-boundary:contains
section-001-symphony-service-specification,section-071-12-prompt-construction-and-context-assembly,contains,contains,section-001-symphony-service-specification->section-071-12-prompt-construction-and-context-assembly:contains
section-071-12-prompt-construction-and-context-assembly,section-072-12-1-inputs,contains,contains,section-071-12-prompt-construction-and-context-assembly->section-072-12-1-inputs:contains
section-071-12-prompt-construction-and-context-assembly,section-073-12-2-rendering-rules,contains,contains,section-071-12-prompt-construction-and-context-assembly->section-073-12-2-rendering-rules:contains
section-071-12-prompt-construction-and-context-assembly,section-074-12-3-retry-continuation-semantics,contains,contains,section-071-12-prompt-construction-and-context-assembly->section-074-12-3-retry-continuation-semantics:contains
section-071-12-prompt-construction-and-context-assembly,section-075-12-4-failure-semantics,contains,contains,section-071-12-prompt-construction-and-context-assembly->section-075-12-4-failure-semantics:contains
section-001-symphony-service-specification,section-076-13-logging-status-and-observability,contains,contains,section-001-symphony-service-specification->section-076-13-logging-status-and-observability:contains
section-076-13-logging-status-and-observability,section-077-13-1-logging-conventions,contains,contains,section-076-13-logging-status-and-observability->section-077-13-1-logging-conventions:contains
section-076-13-logging-status-and-observability,section-078-13-2-logging-outputs-and-sinks,contains,contains,section-076-13-logging-status-and-observability->section-078-13-2-logging-outputs-and-sinks:contains
section-076-13-logging-status-and-observability,section-079-13-3-runtime-snapshot-monitoring-interface-optional-but-recommended,contains,contains,section-076-13-logging-status-and-observability->section-079-13-3-runtime-snapshot-monitoring-interface-optional-but-recommended:contains
section-076-13-logging-status-and-observability,section-080-13-4-optional-human-readable-status-surface,contains,contains,section-076-13-logging-status-and-observability->section-080-13-4-optional-human-readable-status-surface:contains
section-076-13-logging-status-and-observability,section-081-13-5-session-metrics-and-token-accounting,contains,contains,section-076-13-logging-status-and-observability->section-081-13-5-session-metrics-and-token-accounting:contains
section-076-13-logging-status-and-observability,section-082-13-6-humanized-agent-event-summaries-optional,contains,contains,section-076-13-logging-status-and-observability->section-082-13-6-humanized-agent-event-summaries-optional:contains
section-076-13-logging-status-and-observability,section-083-13-7-optional-http-server-extension,contains,contains,section-076-13-logging-status-and-observability->section-083-13-7-optional-http-server-extension:contains
section-083-13-7-optional-http-server-extension,section-084-13-7-1-human-readable-dashboard,contains,contains,section-083-13-7-optional-http-server-extension->section-084-13-7-1-human-readable-dashboard:contains
section-083-13-7-optional-http-server-extension,section-085-13-7-2-json-rest-api-api-v1,contains,contains,section-083-13-7-optional-http-server-extension->section-085-13-7-2-json-rest-api-api-v1:contains
section-001-symphony-service-specification,section-086-14-failure-model-and-recovery-strategy,contains,contains,section-001-symphony-service-specification->section-086-14-failure-model-and-recovery-strategy:contains
section-086-14-failure-model-and-recovery-strategy,section-087-14-1-failure-classes,contains,contains,section-086-14-failure-model-and-recovery-strategy->section-087-14-1-failure-classes:contains
section-086-14-failure-model-and-recovery-strategy,section-088-14-2-recovery-behavior,contains,contains,section-086-14-failure-model-and-recovery-strategy->section-088-14-2-recovery-behavior:contains
section-086-14-failure-model-and-recovery-strategy,section-089-14-3-partial-state-recovery-restart,contains,contains,section-086-14-failure-model-and-recovery-strategy->section-089-14-3-partial-state-recovery-restart:contains
section-086-14-failure-model-and-recovery-strategy,section-090-14-4-operator-intervention-points,contains,contains,section-086-14-failure-model-and-recovery-strategy->section-090-14-4-operator-intervention-points:contains
section-001-symphony-service-specification,section-091-15-security-and-operational-safety,contains,contains,section-001-symphony-service-specification->section-091-15-security-and-operational-safety:contains
section-091-15-security-and-operational-safety,section-092-15-1-trust-boundary-assumption,contains,contains,section-091-15-security-and-operational-safety->section-092-15-1-trust-boundary-assumption:contains
section-091-15-security-and-operational-safety,section-093-15-2-filesystem-safety-requirements,contains,contains,section-091-15-security-and-operational-safety->section-093-15-2-filesystem-safety-requirements:contains
section-091-15-security-and-operational-safety,section-094-15-3-secret-handling,contains,contains,section-091-15-security-and-operational-safety->section-094-15-3-secret-handling:contains
section-091-15-security-and-operational-safety,section-095-15-4-hook-script-safety,contains,contains,section-091-15-security-and-operational-safety->section-095-15-4-hook-script-safety:contains
section-091-15-security-and-operational-safety,section-096-15-5-harness-hardening-guidance,contains,contains,section-091-15-security-and-operational-safety->section-096-15-5-harness-hardening-guidance:contains
section-001-symphony-service-specification,section-097-16-reference-algorithms-language-agnostic,contains,contains,section-001-symphony-service-specification->section-097-16-reference-algorithms-language-agnostic:contains
section-097-16-reference-algorithms-language-agnostic,section-098-16-1-service-startup,contains,contains,section-097-16-reference-algorithms-language-agnostic->section-098-16-1-service-startup:contains
section-097-16-reference-algorithms-language-agnostic,section-099-16-2-poll-and-dispatch-tick,contains,contains,section-097-16-reference-algorithms-language-agnostic->section-099-16-2-poll-and-dispatch-tick:contains
section-097-16-reference-algorithms-language-agnostic,section-100-16-3-reconcile-active-runs,contains,contains,section-097-16-reference-algorithms-language-agnostic->section-100-16-3-reconcile-active-runs:contains
section-097-16-reference-algorithms-language-agnostic,section-101-16-4-dispatch-one-issue,contains,contains,section-097-16-reference-algorithms-language-agnostic->section-101-16-4-dispatch-one-issue:contains
section-097-16-reference-algorithms-language-agnostic,section-102-16-5-worker-attempt-workspace-prompt-agent,contains,contains,section-097-16-reference-algorithms-language-agnostic->section-102-16-5-worker-attempt-workspace-prompt-agent:contains
section-097-16-reference-algorithms-language-agnostic,section-103-16-6-worker-exit-and-retry-handling,contains,contains,section-097-16-reference-algorithms-language-agnostic->section-103-16-6-worker-exit-and-retry-handling:contains
section-001-symphony-service-specification,section-104-17-test-and-validation-matrix,contains,contains,section-001-symphony-service-specification->section-104-17-test-and-validation-matrix:contains
section-104-17-test-and-validation-matrix,section-105-17-1-workflow-and-config-parsing,contains,contains,section-104-17-test-and-validation-matrix->section-105-17-1-workflow-and-config-parsing:contains
section-104-17-test-and-validation-matrix,section-106-17-2-workspace-manager-and-safety,contains,contains,section-104-17-test-and-validation-matrix->section-106-17-2-workspace-manager-and-safety:contains
section-104-17-test-and-validation-matrix,section-107-17-3-issue-tracker-client,contains,contains,section-104-17-test-and-validation-matrix->section-107-17-3-issue-tracker-client:contains
section-104-17-test-and-validation-matrix,section-108-17-4-orchestrator-dispatch-reconciliation-and-retry,contains,contains,section-104-17-test-and-validation-matrix->section-108-17-4-orchestrator-dispatch-reconciliation-and-retry:contains
section-104-17-test-and-validation-matrix,section-109-17-5-coding-agent-app-server-client,contains,contains,section-104-17-test-and-validation-matrix->section-109-17-5-coding-agent-app-server-client:contains
section-104-17-test-and-validation-matrix,section-110-17-6-observability,contains,contains,section-104-17-test-and-validation-matrix->section-110-17-6-observability:contains
section-104-17-test-and-validation-matrix,section-111-17-7-cli-and-host-lifecycle,contains,contains,section-104-17-test-and-validation-matrix->section-111-17-7-cli-and-host-lifecycle:contains
section-104-17-test-and-validation-matrix,section-112-17-8-real-integration-profile-recommended,contains,contains,section-104-17-test-and-validation-matrix->section-112-17-8-real-integration-profile-recommended:contains
section-001-symphony-service-specification,section-113-18-implementation-checklist-definition-of-done,contains,contains,section-001-symphony-service-specification->section-113-18-implementation-checklist-definition-of-done:contains
section-113-18-implementation-checklist-definition-of-done,section-114-18-1-required-for-conformance,contains,contains,section-113-18-implementation-checklist-definition-of-done->section-114-18-1-required-for-conformance:contains
section-113-18-implementation-checklist-definition-of-done,section-115-18-2-recommended-extensions-not-required-for-conformance,contains,contains,section-113-18-implementation-checklist-definition-of-done->section-115-18-2-recommended-extensions-not-required-for-conformance:contains
section-113-18-implementation-checklist-definition-of-done,section-116-18-3-operational-validation-before-production-recommended,contains,contains,section-113-18-implementation-checklist-definition-of-done->section-116-18-3-operational-validation-before-production-recommended:contains
section-001-symphony-service-specification,section-117-appendix-a-ssh-worker-extension-optional,contains,contains,section-001-symphony-service-specification->section-117-appendix-a-ssh-worker-extension-optional:contains
section-117-appendix-a-ssh-worker-extension-optional,section-118-a-1-execution-model,contains,contains,section-117-appendix-a-ssh-worker-extension-optional->section-118-a-1-execution-model:contains
section-117-appendix-a-ssh-worker-extension-optional,section-119-a-2-scheduling-notes,contains,contains,section-117-appendix-a-ssh-worker-extension-optional->section-119-a-2-scheduling-notes:contains
section-117-appendix-a-ssh-worker-extension-optional,section-120-a-3-problems-to-consider,contains,contains,section-117-appendix-a-ssh-worker-extension-optional->section-120-a-3-problems-to-consider:contains
section-002-normative-language,requirement-normative-language-the-key-words-must-must-not-required-should-should-not-recommended-may-and,elaborates,elaborates,section-002-normative-language->requirement-normative-language-the-key-words-must-must-not-required-should-should-not-recommended-may-and:elaborates
section-002-normative-language,requirement-normative-language-optional-in-this-document-are-to-be-interpreted-as-described-in-rfc-2119,elaborates,elaborates,section-002-normative-language->requirement-normative-language-optional-in-this-document-are-to-be-interpreted-as-described-in-rfc-2119:elaborates
section-002-normative-language,requirement-normative-language-implementations-must-document-the-selected,elaborates,elaborates,section-002-normative-language->requirement-normative-language-implementations-must-document-the-selected:elaborates
section-003-1-problem-statement,claim-1-problem-statement-it-turns-issue-execution-into-a-repeatable-daemon-workflow-instead-of-manual-scr,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-it-turns-issue-execution-into-a-repeatable-daemon-workflow-instead-of-manual-scr:elaborates
section-003-1-problem-statement,claim-1-problem-statement-it-isolates-agent-execution-in-per-issue-workspaces-so-agent-commands-run-only-i,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-it-isolates-agent-execution-in-per-issue-workspaces-so-agent-commands-run-only-i:elaborates
section-003-1-problem-statement,claim-1-problem-statement-it-keeps-the-workflow-policy-in-repo-workflow-md-so-teams-version-the-agent-prom,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-it-keeps-the-workflow-policy-in-repo-workflow-md-so-teams-version-the-agent-prom:elaborates
section-003-1-problem-statement,claim-1-problem-statement-it-provides-enough-observability-to-operate-and-debug-multiple-concurrent-agent-,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-it-provides-enough-observability-to-operate-and-debug-multiple-concurrent-agent-:elaborates
section-003-1-problem-statement,claim-1-problem-statement-symphony-is-a-scheduler-runner-and-tracker-reader,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-symphony-is-a-scheduler-runner-and-tracker-reader:elaborates
section-003-1-problem-statement,claim-1-problem-statement-ticket-writes-state-transitions-comments-pr-links-are-typically-performed-by-the,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-ticket-writes-state-transitions-comments-pr-links-are-typically-performed-by-the:elaborates
section-003-1-problem-statement,claim-1-problem-statement-a-successful-run-can-end-at-a-workflow-defined-handoff-state-for-example-human-r,elaborates,elaborates,section-003-1-problem-statement->claim-1-problem-statement-a-successful-run-can-end-at-a-workflow-defined-handoff-state-for-example-human-r:elaborates
section-005-2-1-goals,goal-2-1-goals-poll-the-issue-tracker-on-a-fixed-cadence-and-dispatch-work-with-bounded-concurr,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-poll-the-issue-tracker-on-a-fixed-cadence-and-dispatch-work-with-bounded-concurr:elaborates
section-005-2-1-goals,goal-2-1-goals-maintain-a-single-authoritative-orchestrator-state-for-dispatch-retries-and-reco,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-maintain-a-single-authoritative-orchestrator-state-for-dispatch-retries-and-reco:elaborates
section-005-2-1-goals,goal-2-1-goals-create-deterministic-per-issue-workspaces-and-preserve-them-across-runs,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-create-deterministic-per-issue-workspaces-and-preserve-them-across-runs:elaborates
section-005-2-1-goals,goal-2-1-goals-stop-active-runs-when-issue-state-changes-make-them-ineligible,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-stop-active-runs-when-issue-state-changes-make-them-ineligible:elaborates
section-005-2-1-goals,goal-2-1-goals-recover-from-transient-failures-with-exponential-backoff,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-recover-from-transient-failures-with-exponential-backoff:elaborates
section-005-2-1-goals,goal-2-1-goals-load-runtime-behavior-from-a-repository-owned-workflow-md-contract,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-load-runtime-behavior-from-a-repository-owned-workflow-md-contract:elaborates
section-005-2-1-goals,goal-2-1-goals-expose-operator-visible-observability-at-minimum-structured-logs,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-expose-operator-visible-observability-at-minimum-structured-logs:elaborates
section-005-2-1-goals,goal-2-1-goals-support-tracker-filesystem-driven-restart-recovery-without-requiring-a-persisten,elaborates,elaborates,section-005-2-1-goals->goal-2-1-goals-support-tracker-filesystem-driven-restart-recovery-without-requiring-a-persisten:elaborates
section-006-2-2-non-goals,non_goal-2-2-non-goals-rich-web-ui-or-multi-tenant-control-plane,elaborates,elaborates,section-006-2-2-non-goals->non_goal-2-2-non-goals-rich-web-ui-or-multi-tenant-control-plane:elaborates
section-006-2-2-non-goals,non_goal-2-2-non-goals-prescribing-a-specific-dashboard-or-terminal-ui-implementation,elaborates,elaborates,section-006-2-2-non-goals->non_goal-2-2-non-goals-prescribing-a-specific-dashboard-or-terminal-ui-implementation:elaborates
section-006-2-2-non-goals,non_goal-2-2-non-goals-general-purpose-workflow-engine-or-distributed-job-scheduler,elaborates,elaborates,section-006-2-2-non-goals->non_goal-2-2-non-goals-general-purpose-workflow-engine-or-distributed-job-scheduler:elaborates
section-006-2-2-non-goals,non_goal-2-2-non-goals-built-in-business-logic-for-how-to-edit-tickets-prs-or-comments-that-logic-lives,elaborates,elaborates,section-006-2-2-non-goals->non_goal-2-2-non-goals-built-in-business-logic-for-how-to-edit-tickets-prs-or-comments-that-logic-lives:elaborates
section-006-2-2-non-goals,non_goal-2-2-non-goals-mandating-strong-sandbox-controls-beyond-what-the-coding-agent-and-host-os-provi,elaborates,elaborates,section-006-2-2-non-goals->non_goal-2-2-non-goals-mandating-strong-sandbox-controls-beyond-what-the-coding-agent-and-host-os-provi:elaborates
section-006-2-2-non-goals,non_goal-2-2-non-goals-mandating-a-single-default-approval-sandbox-or-operator-confirmation-posture-for,elaborates,elaborates,section-006-2-2-non-goals->non_goal-2-2-non-goals-mandating-a-single-default-approval-sandbox-or-operator-confirmation-posture-for:elaborates
section-008-3-1-main-components,component-3-1-main-components-reads-workflow-md,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-reads-workflow-md:elaborates
section-008-3-1-main-components,component-3-1-main-components-parses-yaml-front-matter-and-prompt-body,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-parses-yaml-front-matter-and-prompt-body:elaborates
section-008-3-1-main-components,component-3-1-main-components-returns-config-prompttemplate,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-returns-config-prompttemplate:elaborates
section-008-3-1-main-components,component-3-1-main-components-exposes-typed-getters-for-workflow-config-values,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-exposes-typed-getters-for-workflow-config-values:elaborates
section-008-3-1-main-components,component-3-1-main-components-applies-defaults-and-environment-variable-indirection,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-applies-defaults-and-environment-variable-indirection:elaborates
section-008-3-1-main-components,component-3-1-main-components-performs-validation-used-by-the-orchestrator-before-dispatch,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-performs-validation-used-by-the-orchestrator-before-dispatch:elaborates
section-008-3-1-main-components,component-3-1-main-components-fetches-candidate-issues-in-active-states,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-fetches-candidate-issues-in-active-states:elaborates
section-008-3-1-main-components,component-3-1-main-components-fetches-current-states-for-specific-issue-ids-reconciliation,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-fetches-current-states-for-specific-issue-ids-reconciliation:elaborates
section-008-3-1-main-components,component-3-1-main-components-fetches-terminal-state-issues-during-startup-cleanup,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-fetches-terminal-state-issues-during-startup-cleanup:elaborates
section-008-3-1-main-components,component-3-1-main-components-normalizes-tracker-payloads-into-a-stable-issue-model,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-normalizes-tracker-payloads-into-a-stable-issue-model:elaborates
section-008-3-1-main-components,component-3-1-main-components-owns-the-poll-tick,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-owns-the-poll-tick:elaborates
section-008-3-1-main-components,component-3-1-main-components-owns-the-in-memory-runtime-state,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-owns-the-in-memory-runtime-state:elaborates
section-008-3-1-main-components,component-3-1-main-components-decides-which-issues-to-dispatch-retry-stop-or-release,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-decides-which-issues-to-dispatch-retry-stop-or-release:elaborates
section-008-3-1-main-components,component-3-1-main-components-tracks-session-metrics-and-retry-queue-state,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-tracks-session-metrics-and-retry-queue-state:elaborates
section-008-3-1-main-components,component-3-1-main-components-maps-issue-identifiers-to-workspace-paths,elaborates,elaborates,section-008-3-1-main-components->component-3-1-main-components-maps-issue-identifiers-to-workspace-paths:elaborates
